Rationale,year,Catch ,F,SSB ,
MSY approach (F = FMSY),next,11778,0.12,98331,
Fpa,next,11 778,0.12,98331,
F2019 = 0,next,0,0,109470,
F2019 = Flim,next,15115,0.17,94070,
SSB (2020) = Bpa,next,36509,0.43,75037,
SSB (2020) = Blim,next,59023,0.83,54000,
SSB (2020) = MSY Btrigger,next,36509,0.43,75037,
F2019 = Fsq,next,3076,0.03,106559,
MSY approach (F = FMSY),2after,11150,0.12,93408,
Fpa,2after,11150,0.12,93408,
F2019 = 0,2after,0,0,103921,
F2019 = Flim,2after,15422,0.17,89387,
SSB (2020) = Bpa,2after,30700,0.37,75037,
SSB (2020) = Blim,2after,53259,0.77,54000,
SSB (2020) = MSY Btrigger,2after,30700,0.37,75037,
F2019 = Fsq,2after,2912,0.03,101173,
