Year,ICES advice,Predicted catch corresponding to advice,Predicted landings corresponding to advice,Agreed TAC*,ICES landings,Discards,ICES catch
1987,Precautionary TAC; juvenile protection,,,63500,63369,,
1988,Precautionary TAC; juvenile protection,,54000,66200,64823,**,
1989,Precautionary TAC; juvenile protection,,54000,59700,66473,**,
1990,Precautionary TAC; juvenile protection,,59000,65100,59954,,
1991,Precautionary TAC; juvenile protection,,59000,67000,58129,,
1992,"If required, precautionary TAC",,61500,69000,56617,,
1993,Enforce juvenile protection legislation,,-,71500,52144,,
1994,F significantly reduced,,-,60000,51259,**,
1995,30% reduction in F,,31000,55100,57621,,
1996,30% reduction in F,,39000,51100,47210,,
1997,20% reduction in F,,54000,60100,42465,,
1998,20% reduction in F,,45000,59100,35060,,
1999,Reduce F below Fpa,,-,55100,39814,**,
2000,50% reduction in F,,-,42100,42026,**,
2001,"Lowest possible catch, recovery plan",,-,22600,36675,,
2002,Lowest possible catch / recovery plan,,-,27000,40105,,
2003,Lowest possible catch / recovery plan,,-,30000,43162,1393,44555
2004,70% reduction in F or recovery plan,,-,39100,46416,2614,49029
2005,F = 0.19,,33000,42600,46550,4583,51133
2006,F = 0.25,,44000,43900,41469,1222,42691
2007,Recovery plan limits,,50500,52700,45093,2165,47258
2008,Recovery plan limits,,54000,54000,47822,3368,51190
2009,F = 0.25 = Fpa,,51500,51500,58781,11033,69814
2010,F = 0.25 = Fpa,,55200,55105,72760,12118,84878
2011,See scenarios,,50600,55105,87540,13903,101443
2012,MSY transition,,51900,55105,85677,14870,100547
2013,MSY transition,,45400,69440,77708,15400,93108
2014,MSY approach,,81846,81846,89928,9800,99728
2015,MSY approach,,78457,90849,95023,10900,105923
2016,MSY approach,? 109592,? 96651,108764,107530,11114,118644
2017,MSY approach,? 123777,,119765,104670 ,7100 ,111770 
2018,MSY approach,? 115335,,111785,,,
2019,MSY approach,? 142240,,,,,
